position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,4,sequential,1,"(3,6) -> (0,6)",-1030,857,0.00268929,1,1
LAT-ch,4,parallel,1,"(3,6) -> (0,6)",-1030,883,0.00290068,0.927123,0.927123
LAT-ch,4,parallel,2,"(3,6) -> (0,6)",-1030,883,0.0033287,0.807909,0.403955
LAT-ch,4,parallel,4,"(3,6) -> (0,6)",-1030,883,0.00300622,0.894577,0.223644
LAT-ch,5,sequential,1,"(7,5) -> (7,6)",-850,2850,0.00754258,1,1
LAT-ch,5,parallel,1,"(7,5) -> (7,6)",-850,3004,0.00785299,0.960472,0.960472
LAT-ch,5,parallel,2,"(7,5) -> (7,6)",-850,3015,0.00788225,0.956907,0.478453
LAT-ch,5,parallel,4,"(7,5) -> (7,6)",-850,3020,0.00789424,0.955454,0.238863
LAT-ch,6,sequential,1,"(3,6) -> (0,6)",-1120,7073,0.0101316,1,1
LAT-ch,6,parallel,1,"(3,6) -> (0,6)",-1120,7271,0.0113034,0.896332,0.896332
LAT-ch,6,parallel,2,"(3,6) -> (0,6)",-1120,7271,0.0112976,0.896787,0.448393
LAT-ch,6,parallel,4,"(3,6) -> (0,6)",-1120,7271,0.0113831,0.890054,0.222514
Riga-ch,4,sequential,1,"(3,0) -> (6,0)",300,1949,0.00263315,1,1
Riga-ch,4,parallel,1,"(3,0) -> (6,0)",300,2484,0.00368083,0.715368,0.715368
Riga-ch,4,parallel,2,"(3,0) -> (6,0)",300,2753,0.00405708,0.649025,0.324513
Riga-ch,4,parallel,4,"(0,6) -> (0,5)",300,1475,0.00228709,1.15131,0.287827
Riga-ch,5,sequential,1,"(0,6) -> (0,5)",300,5242,0.00851044,1,1
Riga-ch,5,parallel,1,"(3,0) -> (6,0)",200,12763,0.020394,0.417301,0.417301
Riga-ch,5,parallel,2,"(3,0) -> (6,0)",200,14043,0.0224656,0.378821,0.189411
Riga-ch,5,parallel,4,"(3,0) -> (6,0)",200,12751,0.0203933,0.417315,0.104329
Riga-ch,6,sequential,1,"(3,0) -> (6,0)",300,31342,0.0356682,1,1
Riga-ch,6,parallel,1,"(3,0) -> (6,0)",300,64749,0.0765418,0.465996,0.465996
Riga-ch,6,parallel,2,"(3,0) -> (6,0)",300,71229,0.0832732,0.428327,0.214164
Riga-ch,6,parallel,4,"(3,0) -> (6,0)",300,71229,0.083983,0.424707,0.106177
Riga-ch,4,sequential,1,"(5,4) -> (4,4)",-220,2172,0.00230658,1,1
Riga-ch,4,parallel,1,"(5,4) -> (4,4)",-220,2210,0.00252631,0.913025,0.913025
Riga-ch,4,parallel,2,"(5,4) -> (4,4)",-220,1881,0.0022268,1.03583,0.517914
Riga-ch,4,parallel,4,"(5,4) -> (4,4)",-220,1598,0.00215906,1.06833,0.267082
Riga-ch,5,sequential,1,"(5,4) -> (4,4)",-220,5763,0.00831731,1,1
Riga-ch,5,parallel,1,"(5,4) -> (4,4)",-220,6446,0.00884895,0.93992,0.93992
Riga-ch,5,parallel,2,"(6,6) -> (7,7)",-220,5373,0.00723814,1.14909,0.574547
Riga-ch,5,parallel,4,"(6,6) -> (7,7)",-220,5142,0.00643618,1.29227,0.323069
Riga-ch,6,sequential,1,"(6,6) -> (7,7)",-320,38009,0.0351022,1,1
Riga-ch,6,parallel,1,"(6,6) -> (7,7)",-320,40467,0.0399792,0.878013,0.878013
Riga-ch,6,parallel,2,"(6,6) -> (7,7)",-320,44123,0.0417557,0.840658,0.420329
Riga-ch,6,parallel,4,"(6,6) -> (7,7)",-320,53728,0.0485336,0.723256,0.180814
Riga-ch sf,4,sequential,1,"(1,6) -> (0,6)",500,3271,0.00517085,1,1
Riga-ch sf,4,parallel,1,"(1,6) -> (0,6)",500,3276,0.00520571,0.993303,0.993303
Riga-ch sf,4,parallel,2,"(1,6) -> (0,6)",500,3276,0.00532184,0.971629,0.485815
Riga-ch sf,4,parallel,4,"(1,6) -> (0,6)",500,3276,0.00526125,0.982819,0.245705
Riga-ch sf,5,sequential,1,"(1,6) -> (1,5)",300,7054,0.0172716,1,1
Riga-ch sf,5,parallel,1,"(1,6) -> (1,5)",300,7150,0.0174159,0.991716,0.991716
Riga-ch sf,5,parallel,2,"(1,6) -> (1,5)",300,7176,0.0173772,0.993926,0.496963
Riga-ch sf,5,parallel,4,"(1,6) -> (1,5)",300,7150,0.0174212,0.991412,0.247853
Riga-ch sf,6,sequential,1,"(1,6) -> (0,6)",500,75380,0.0895079,1,1
Riga-ch sf,6,parallel,1,"(1,6) -> (0,6)",500,75634,0.0914545,0.978716,0.978716
