threads,games_per_thread,total_games,parallel_rows,total_parallel_time,avg_parallel_time,avg_speedup,avg_efficiency,weak_scaling_efficiency
1,25,25,75,4.736306850999999,0.06315075801333332,0.8482928533333336,0.8482928533333336,1.0
2,25,50,150,7.805752125,0.0520383475,0.8807692266666667,0.4403844933333332,0.6067713623432539
4,25,100,300,23.568571592000005,0.07856190530666668,1.1259254033333324,0.28148135999999996,0.20095858726574958
8,25,200,600,67.39986807499996,0.11233311345833326,1.0572988716666663,0.13216233349999995,0.07027175254600826
16,25,400,1200,168.8255816159999,0.14068798467999993,0.854012165,0.05337575955,0.028054438229467536
