position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,4,sequential,1,"(3,6) -> (0,6)",-1030,857,0.00268391,1,1
LAT-ch,4,parallel,1,"(3,6) -> (0,6)",-1030,883,0.00290484,0.923944,0.923944
LAT-ch,4,parallel,2,"(3,6) -> (0,6)",-1030,883,0.00336141,0.798448,0.399224
LAT-ch,5,sequential,1,"(7,5) -> (7,6)",-850,2850,0.00752023,1,1
LAT-ch,5,parallel,1,"(7,5) -> (7,6)",-850,3004,0.00784626,0.958446,0.958446
LAT-ch,5,parallel,2,"(7,5) -> (7,6)",-850,3015,0.00781376,0.962434,0.481217
LAT-ch,6,sequential,1,"(3,6) -> (0,6)",-1120,7073,0.0101238,1,1
LAT-ch,6,parallel,1,"(3,6) -> (0,6)",-1120,7271,0.0112767,0.89776,0.89776
LAT-ch,6,parallel,2,"(3,6) -> (0,6)",-1120,7271,0.0112466,0.900165,0.450083
Riga-ch,4,sequential,1,"(3,0) -> (6,0)",300,1949,0.00262658,1,1
Riga-ch,4,parallel,1,"(3,0) -> (6,0)",300,2484,0.003673,0.715106,0.715106
Riga-ch,4,parallel,2,"(3,0) -> (6,0)",300,2753,0.00399896,0.656816,0.328408
Riga-ch,5,sequential,1,"(0,6) -> (0,5)",300,5242,0.00847901,1,1
Riga-ch,5,parallel,1,"(3,0) -> (6,0)",200,12763,0.0203611,0.416431,0.416431
Riga-ch,5,parallel,2,"(3,0) -> (6,0)",200,14043,0.0224073,0.378404,0.189202
Riga-ch,6,sequential,1,"(3,0) -> (6,0)",300,31342,0.0356067,1,1
Riga-ch,6,parallel,1,"(3,0) -> (6,0)",300,64749,0.076427,0.465892,0.465892
Riga-ch,6,parallel,2,"(3,0) -> (6,0)",300,71229,0.0831279,0.428337,0.214168
Riga-ch,4,sequential,1,"(5,4) -> (4,4)",-220,2172,0.00226552,1,1
Riga-ch,4,parallel,1,"(5,4) -> (4,4)",-220,2210,0.00248721,0.910866,0.910866
Riga-ch,4,parallel,2,"(5,4) -> (4,4)",-220,1881,0.00213598,1.06065,0.530323
Riga-ch,5,sequential,1,"(5,4) -> (4,4)",-220,5763,0.00828134,1,1
Riga-ch,5,parallel,1,"(5,4) -> (4,4)",-220,6446,0.00881952,0.938979,0.938979
Riga-ch,5,parallel,2,"(6,6) -> (7,7)",-220,5373,0.00718987,1.15181,0.575904
Riga-ch,6,sequential,1,"(6,6) -> (7,7)",-320,38009,0.0349616,1,1
Riga-ch,6,parallel,1,"(6,6) -> (7,7)",-320,40467,0.0399647,0.874814,0.874814
Riga-ch,6,parallel,2,"(6,6) -> (7,7)",-320,54846,0.0487019,0.717871,0.358935
Riga-ch sf,4,sequential,1,"(1,6) -> (0,6)",500,3271,0.00518686,1,1
Riga-ch sf,4,parallel,1,"(1,6) -> (0,6)",500,3276,0.0052097,0.995616,0.995616
Riga-ch sf,4,parallel,2,"(1,6) -> (0,6)",500,3276,0.00523084,0.991591,0.495796
Riga-ch sf,5,sequential,1,"(1,6) -> (1,5)",300,7054,0.0171912,1,1
Riga-ch sf,5,parallel,1,"(1,6) -> (1,5)",300,7150,0.0173804,0.989111,0.989111
Riga-ch sf,5,parallel,2,"(1,6) -> (1,5)",300,7176,0.0173011,0.993648,0.496824
Riga-ch sf,6,sequential,1,"(1,6) -> (0,6)",500,75380,0.0893458,1,1
Riga-ch sf,6,parallel,1,"(1,6) -> (0,6)",500,75634,0.0912179,0.979476,0.979476
Riga-ch sf,6,parallel,2,"(1,6) -> (0,6)",500,75634,0.0909338,0.982536,0.491268
Riga-ch,4,sequential,1,"(1,3) -> (0,5)",1000002,1339,0.000995112,1,1
Riga-ch,4,parallel,1,"(1,3) -> (0,5)",1000002,1339,0.000969429,1.02649,1.02649
Riga-ch,4,parallel,2,"(1,3) -> (0,5)",1000002,1339,0.000976845,1.0187,0.50935
