position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,4,sequential,1,"(3,6) -> (0,6)",-1030,857,0.00269698,1,1
LAT-ch,4,parallel,1,"(3,6) -> (0,6)",-1030,883,0.00289697,0.930966,0.930966
LAT-ch,4,parallel,2,"(3,6) -> (0,6)",-1030,883,0.00334888,0.805339,0.402669
LAT-ch,4,parallel,4,"(3,6) -> (0,6)",-1030,883,0.00299496,0.900508,0.225127
LAT-ch,4,parallel,8,"(3,6) -> (0,6)",-1030,883,0.00346952,0.777336,0.097167
LAT-ch,5,sequential,1,"(7,5) -> (7,6)",-850,2850,0.00753354,1,1
LAT-ch,5,parallel,1,"(7,5) -> (7,6)",-850,3004,0.00785184,0.959462,0.959462
LAT-ch,5,parallel,2,"(7,5) -> (7,6)",-850,3015,0.00796507,0.945822,0.472911
LAT-ch,5,parallel,4,"(7,5) -> (7,6)",-850,3020,0.00791353,0.951981,0.237995
LAT-ch,5,parallel,8,"(7,5) -> (7,6)",-850,3020,0.00794872,0.947767,0.118471
LAT-ch,6,sequential,1,"(3,6) -> (0,6)",-1120,7073,0.0107905,1,1
LAT-ch,6,parallel,1,"(3,6) -> (0,6)",-1120,7271,0.0112526,0.958939,0.958939
LAT-ch,6,parallel,2,"(3,6) -> (0,6)",-1120,7271,0.0112852,0.95617,0.478085
LAT-ch,6,parallel,4,"(3,6) -> (0,6)",-1120,7271,0.0112843,0.956246,0.239061
LAT-ch,6,parallel,8,"(3,6) -> (0,6)",-1120,7271,0.0113784,0.948339,0.118542
Riga-ch,4,sequential,1,"(3,0) -> (6,0)",300,1949,0.00263303,1,1
Riga-ch,4,parallel,1,"(3,0) -> (6,0)",300,2484,0.00368031,0.715438,0.715438
Riga-ch,4,parallel,2,"(3,0) -> (6,0)",300,2753,0.00411029,0.640595,0.320297
Riga-ch,4,parallel,4,"(0,6) -> (0,5)",300,1475,0.00229532,1.14713,0.286783
Riga-ch,4,parallel,8,"(3,0) -> (4,0)",300,1812,0.002803,0.939361,0.11742
Riga-ch,5,sequential,1,"(0,6) -> (0,5)",300,5242,0.00853667,1,1
Riga-ch,5,parallel,1,"(3,0) -> (6,0)",200,12763,0.0203349,0.419803,0.419803
Riga-ch,5,parallel,2,"(3,0) -> (6,0)",200,14043,0.0224826,0.379702,0.189851
Riga-ch,5,parallel,4,"(3,0) -> (6,0)",200,12751,0.020374,0.418997,0.104749
Riga-ch,5,parallel,8,"(0,6) -> (0,5)",200,1674,0.00291542,2.92811,0.366013
Riga-ch,6,sequential,1,"(3,0) -> (6,0)",300,31342,0.0356549,1,1
Riga-ch,6,parallel,1,"(3,0) -> (6,0)",300,64749,0.076415,0.466595,0.466595
Riga-ch,6,parallel,2,"(3,0) -> (6,0)",300,71229,0.0832973,0.428043,0.214022
Riga-ch,6,parallel,4,"(3,0) -> (6,0)",300,71229,0.0839052,0.424942,0.106235
Riga-ch,6,parallel,8,"(3,0) -> (2,0)",300,41681,0.0507051,0.703181,0.0878976
Riga-ch,4,sequential,1,"(5,4) -> (4,4)",-220,2172,0.00231671,1,1
Riga-ch,4,parallel,1,"(5,4) -> (4,4)",-220,2210,0.00250789,0.923766,0.923766
Riga-ch,4,parallel,2,"(5,4) -> (4,4)",-220,1881,0.00228559,1.01361,0.506807
Riga-ch,4,parallel,4,"(5,4) -> (4,4)",-220,1598,0.00215731,1.07389,0.268472
Riga-ch,4,parallel,8,"(5,4) -> (4,4)",-220,2137,0.00260595,0.889005,0.111126
Riga-ch,5,sequential,1,"(5,4) -> (4,4)",-220,5763,0.00832912,1,1
Riga-ch,5,parallel,1,"(5,4) -> (4,4)",-220,6446,0.00886323,0.939739,0.939739
Riga-ch,5,parallel,2,"(6,6) -> (7,7)",-220,5373,0.00730438,1.14029,0.570146
Riga-ch,5,parallel,4,"(6,6) -> (7,7)",-220,5142,0.00645711,1.28991,0.322479
Riga-ch,5,parallel,8,"(5,4) -> (4,4)",-220,6463,0.00903432,0.921943,0.115243
Riga-ch,6,sequential,1,"(6,6) -> (7,7)",-320,38009,0.0350321,1,1
Riga-ch,6,parallel,1,"(6,6) -> (7,7)",-320,40467,0.0402174,0.871068,0.871068
Riga-ch,6,parallel,2,"(6,6) -> (7,7)",-320,54846,0.0487413,0.718735,0.359367
