position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,6,parallel,2,"(6,4) -> (6,1)",-370,448718,0.53885,0.560185,0.280093
LAT-ch,6,parallel,4,"(6,4) -> (6,1)",-370,594780,0.682947,0.44199,0.110498
LAT-ch,6,parallel,8,"(6,4) -> (6,1)",-370,970149,1.05589,0.285879,0.0357349
LAT-ch,6,parallel,16,"(6,4) -> (6,1)",-370,1315756,1.45827,0.206996,0.0129373
LAT-ch,4,sequential,1,"(0,3) -> (0,1)",-400,1074,0.0034049,1,1
LAT-ch,4,parallel,1,"(0,3) -> (0,1)",-400,1209,0.00459754,0.740591,0.740591
LAT-ch,4,parallel,2,"(0,3) -> (0,1)",-400,1209,0.00641036,0.531156,0.265578
LAT-ch,4,parallel,4,"(0,3) -> (0,1)",-400,1209,0.00521469,0.652944,0.163236
LAT-ch,4,parallel,8,"(0,3) -> (0,1)",-400,1209,0.00462319,0.736483,0.0920604
LAT-ch,4,parallel,16,"(0,3) -> (0,1)",-400,1209,0.00464873,0.732436,0.0457773
LAT-ch,5,sequential,1,"(0,3) -> (0,1)",-100,8918,0.00906904,1,1
LAT-ch,5,parallel,1,"(0,3) -> (0,1)",0,13263,0.0135277,0.670404,0.670404
LAT-ch,5,parallel,2,"(6,7) -> (5,6)",0,11530,0.0123705,0.73312,0.36656
LAT-ch,5,parallel,4,"(0,3) -> (0,1)",0,13506,0.0137172,0.661145,0.165286
LAT-ch,5,parallel,8,"(0,3) -> (0,1)",0,13324,0.0136982,0.662058,0.0827573
LAT-ch,5,parallel,16,"(0,3) -> (0,1)",0,13390,0.0138771,0.653526,0.0408454
LAT-ch,6,sequential,1,"(4,6) -> (2,6)",-400,34921,0.0810262,1,1
LAT-ch,6,parallel,1,"(4,6) -> (2,6)",-400,45247,0.117257,0.691016,0.691016
LAT-ch,6,parallel,2,"(4,6) -> (2,6)",-400,73648,0.183882,0.440643,0.220321
LAT-ch,6,parallel,4,"(6,6) -> (5,6)",-400,52728,0.135649,0.597324,0.149331
LAT-ch,6,parallel,8,"(6,7) -> (5,6)",-400,37438,0.101905,0.795115,0.0993894
LAT-ch,6,parallel,16,"(4,6) -> (2,6)",-400,85076,0.20665,0.392094,0.0245059
LAT-ch,4,sequential,1,"(2,2) -> (7,2)",10,2794,0.0054117,1,1
