position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,4,sequential,1,"(3,6) -> (0,6)",-1030,857,0.00271342,1,1
LAT-ch,4,parallel,1,"(3,6) -> (0,6)",-1030,883,0.0029029,0.934727,0.934727
LAT-ch,5,sequential,1,"(7,5) -> (7,6)",-850,2850,0.00751632,1,1
LAT-ch,5,parallel,1,"(7,5) -> (7,6)",-850,3004,0.00783129,0.95978,0.95978
LAT-ch,6,sequential,1,"(3,6) -> (0,6)",-1120,7073,0.0101099,1,1
LAT-ch,6,parallel,1,"(3,6) -> (0,6)",-1120,7271,0.0112356,0.899809,0.899809
Riga-ch,4,sequential,1,"(3,0) -> (6,0)",300,1949,0.00275887,1,1
Riga-ch,4,parallel,1,"(3,0) -> (6,0)",300,2484,0.00373204,0.73924,0.73924
Riga-ch,5,sequential,1,"(0,6) -> (0,5)",300,5242,0.00849682,1,1
Riga-ch,5,parallel,1,"(3,0) -> (6,0)",200,12763,0.0203437,0.417664,0.417664
Riga-ch,6,sequential,1,"(3,0) -> (6,0)",300,31342,0.0355869,1,1
Riga-ch,6,parallel,1,"(3,0) -> (6,0)",300,64749,0.0765702,0.464762,0.464762
Riga-ch,4,sequential,1,"(5,4) -> (4,4)",-220,2172,0.00226554,1,1
Riga-ch,4,parallel,1,"(5,4) -> (4,4)",-220,2210,0.0024756,0.915148,0.915148
Riga-ch,5,sequential,1,"(5,4) -> (4,4)",-220,5763,0.00827403,1,1
Riga-ch,5,parallel,1,"(5,4) -> (4,4)",-220,6446,0.00896074,0.923364,0.923364
Riga-ch,6,sequential,1,"(6,6) -> (7,7)",-320,38009,0.035093,1,1
Riga-ch,6,parallel,1,"(6,6) -> (7,7)",-320,40467,0.0400103,0.877098,0.877098
Riga-ch sf,4,sequential,1,"(1,6) -> (0,6)",500,3271,0.00519864,1,1
Riga-ch sf,4,parallel,1,"(1,6) -> (0,6)",500,3276,0.0052394,0.99222,0.99222
Riga-ch sf,5,sequential,1,"(1,6) -> (1,5)",300,7054,0.017175,1,1
Riga-ch sf,5,parallel,1,"(1,6) -> (1,5)",300,7150,0.0173294,0.99109,0.99109
Riga-ch sf,6,sequential,1,"(1,6) -> (0,6)",500,75380,0.0897062,1,1
Riga-ch sf,6,parallel,1,"(1,6) -> (0,6)",500,75634,0.091625,0.979058,0.979058
Riga-ch,4,sequential,1,"(1,3) -> (0,5)",1000002,1339,0.000992509,1,1
Riga-ch,4,parallel,1,"(1,3) -> (0,5)",1000002,1339,0.00100223,0.990296,0.990296
Riga-ch,5,sequential,1,"(1,3) -> (0,5)",1000003,2654,0.00772749,1,1
Riga-ch,5,parallel,1,"(1,3) -> (0,5)",1000003,2654,0.0077582,0.996042,0.996042
Riga-ch,6,sequential,1,"(1,3) -> (0,5)",1000004,28869,0.0231014,1,1
Riga-ch,6,parallel,1,"(1,3) -> (0,5)",1000004,28869,0.0233445,0.989585,0.989585
Riga-ch,4,sequential,1,"(4,2) -> (3,2)",100,2066,0.00221163,1,1
Riga-ch,4,parallel,1,"(4,2) -> (3,2)",100,2170,0.00255336,0.866165,0.866165
Riga-ch,5,sequential,1,"(4,2) -> (3,2)",200,16481,0.0170444,1,1
Riga-ch,5,parallel,1,"(4,2) -> (3,2)",200,22841,0.0236714,0.720044,0.720044
Riga-ch,6,sequential,1,"(4,2) -> (3,2)",100,44058,0.0508656,1,1
Riga-ch,6,parallel,1,"(4,2) -> (3,2)",100,52137,0.0680356,0.747631,0.747631
Riga-ch sf,4,sequential,1,"(6,5) -> (6,4)",-930,991,0.00111822,1,1
Riga-ch sf,4,parallel,1,"(6,5) -> (6,4)",-930,991,0.00110363,1.01322,1.01322
Riga-ch sf,5,sequential,1,"(6,5) -> (6,4)",-430,2579,0.0043989,1,1
Riga-ch sf,5,parallel,1,"(6,5) -> (6,4)",-430,2587,0.00443699,0.991415,0.991415
