position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,5,parallel,8,"(6,7) -> (5,7)",150,11448,0.0189417,1.0093,0.126163
LAT-ch,5,parallel,16,"(6,7) -> (5,7)",150,11448,0.0261758,0.730367,0.0456479
LAT-ch,6,sequential,1,"(6,7) -> (5,7)",-180,91340,0.069344,1,1
LAT-ch,6,parallel,1,"(6,7) -> (5,7)",-180,91699,0.0710381,0.976153,0.976153
LAT-ch,6,parallel,2,"(6,7) -> (5,7)",-180,91699,0.0645435,1.07438,0.537188
LAT-ch,6,parallel,4,"(6,7) -> (5,7)",-180,91699,0.0640532,1.0826,0.27065
LAT-ch,6,parallel,8,"(6,7) -> (5,7)",-180,91699,0.0677963,1.02283,0.127854
LAT-ch,6,parallel,16,"(6,7) -> (5,7)",-180,91699,0.0739343,0.937914,0.0586196
LAT-ch,4,sequential,1,"(0,6) -> (1,6)",400,366,0.000690608,1,1
LAT-ch,4,parallel,1,"(0,6) -> (1,6)",400,404,0.00110084,0.627348,0.627348
LAT-ch,4,parallel,2,"(0,6) -> (1,6)",400,404,0.000730378,0.945549,0.472774
LAT-ch,4,parallel,4,"(0,6) -> (1,6)",400,404,0.000494744,1.39589,0.348972
LAT-ch,4,parallel,8,"(0,6) -> (1,6)",400,404,0.000432996,1.59495,0.199369
LAT-ch,4,parallel,16,"(0,6) -> (1,6)",400,404,0.00876562,0.078786,0.00492412
LAT-ch,5,sequential,1,"(0,6) -> (0,4)",-400,1604,0.00154842,1,1
LAT-ch,5,parallel,1,"(0,6) -> (0,4)",-400,2019,0.00213339,0.725799,0.725799
LAT-ch,5,parallel,2,"(0,6) -> (0,4)",-400,2469,0.00522421,0.296392,0.148196
LAT-ch,5,parallel,4,"(0,6) -> (0,4)",-400,3658,0.00140217,1.1043,0.276075
LAT-ch,5,parallel,8,"(0,6) -> (0,4)",-400,6336,0.002206,0.70191,0.0877388
LAT-ch,5,parallel,16,"(0,6) -> (0,4)",-400,5182,0.00850613,0.182035,0.0113772
LAT-ch,6,sequential,1,"(0,6) -> (0,4)",200,7818,0.0116175,1,1
LAT-ch,6,parallel,1,"(0,6) -> (0,4)",200,10439,0.0177637,0.654005,0.654005
LAT-ch,6,parallel,2,"(0,6) -> (0,4)",200,10439,0.0138199,0.840636,0.420318
LAT-ch,6,parallel,4,"(0,6) -> (0,4)",200,10439,0.010745,1.0812,0.2703
LAT-ch,6,parallel,8,"(0,6) -> (0,4)",200,12316,0.00786743,1.47666,0.184583
LAT-ch,6,parallel,16,"(0,6) -> (0,4)",200,12316,0.0126077,0.92146,0.0575912
LAT-ch,4,sequential,1,"(3,3) -> (2,1)",-410,12648,0.00871682,1,1
LAT-ch,4,parallel,1,"(3,3) -> (2,1)",-410,13365,0.0100453,0.86775,0.86775
LAT-ch,4,parallel,2,"(3,3) -> (2,1)",-410,13365,0.0077099,1.1306,0.5653
LAT-ch,4,parallel,4,"(3,3) -> (2,1)",-410,13365,0.00851357,1.02387,0.255968
LAT-ch,4,parallel,8,"(3,3) -> (2,1)",-410,13365,0.00834156,1.04499,0.130623
LAT-ch,4,parallel,16,"(3,3) -> (2,1)",-410,13365,0.00998801,0.872728,0.0545455
LAT-ch,5,sequential,1,"(7,7) -> (7,4)",90,25385,0.0265538,1,1
LAT-ch,5,parallel,1,"(7,7) -> (7,4)",90,31309,0.0315543,0.841527,0.841527
LAT-ch,5,parallel,2,"(7,7) -> (7,4)",90,41915,0.0241727,1.09851,0.549253
LAT-ch,5,parallel,4,"(7,7) -> (7,1)",90,37140,0.0203008,1.30802,0.327004
LAT-ch,5,parallel,8,"(7,7) -> (7,1)",90,46211,0.0228938,1.15987,0.144983
LAT-ch,5,parallel,16,"(7,7) -> (7,2)",90,52189,0.0230294,1.15304,0.072065
LAT-ch,6,sequential,1,"(3,3) -> (4,5)",-430,363781,0.246288,1,1
